Sentences,Types,Classification,Type,Classifications,Classifications_name
Spray on 3 light.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Spray on a light coat of your chosen color of rattle.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Spray stones with a chew deterrent.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Spray the faded areas of paint liberally.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Spray the lock .,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Spread Grout between the pieces of your mosaic.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Start an art blog to drive traffic to your portfolio.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Start by drawing a simple downward stroke.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Start by drawing the top light dome of the lighthouse.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Start practicing letters that fit in your x height.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Start with a very thin layer of red.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Start with large sections.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Start with plain white batter or frosting.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Start with red , yellow and white.",INSTRUCTION,INSTRUCTION WITH SEQUENCE,1,1,SIMPLE INSTRUCTION
Stay hydrated while you run.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Stay still when using a cell phone.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Stock up the kitchen with your favorites.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Stop biting your fingernails.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Stop down.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Stop talking!.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Store mixed pancake batter conveniently in a plastic ketchup bottle.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Store your household cleaners conveniently in a shoe hanger.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Stretch each string across the sound hole.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
String together dyed pasta into jewelry.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Students must write the exam.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Submerge your air plants in the water.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Submit the required documents in a single packet at the same time.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Submit your work to online competitions for publicity.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Supervise the introduction of a new pet.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Switch off your mobiles.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Switch to weatherproof padlocks.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Switch your puppy to a healthier diet.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take 50 ml of water.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take a drill machine.,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Take a hoe.,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Take a pair of scissors .,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Take a pen.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take a variety of photos.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take animal related classes outside of your specific major.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take courses related to zoology or animals.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take cuttings in the late spring or early summer if possible.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Take Lessons.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take off your rear license plate.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take that axe,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
"Take the dog for a walk, please.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Talk to the animal keepers at your local zoo.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Talk to your neighbors.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Talk to yourself or others.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Tape the paper towel roll down.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Teach your puppy drop it.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Teach yourself how to fold origami.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Tend to your pets medical needs.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Texture the areas.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Think of all possible ways of describing your invention.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Think of your sketchbook as a good friend.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Thread the rubber bands through one of the cardboard strips.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Tighten your grip and hold the popsicle stick in place.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Touch your elbow to your hip.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Trace a kids feet on paper when you are shoe shopping without them.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Track down previous owners.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Transfer to the lunar lander.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Try cropping really tightly and singling .,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Try drawing a scary monster if you want to make something creepy.,INSTRUCTION,SIMPLE INSTRUCTION,1,7,INSTRUCTION WITH REASON
Try drawing a tank if you want to draw 3D vehicle.,INSTRUCTION,SIMPLE INSTRUCTION,1,7,INSTRUCTION WITH REASON
"Try drawing an elephant head to practice sketching out details	.",INSTRUCTION,SIMPLE INSTRUCTION,1,7,INSTRUCTION WITH REASON
Try graphite spray.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Try shooting at night under artificial lighting.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Try to select an area that is quiet where you wonÃ¢â‚¬â„¢t be distracted by the television, radio or other electronic devices.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Try tracing the letters before you draw them on your own.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Tuck the edges of the foil into each other.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Turn cardboard tubes into racing rockets.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Turn on the vacuum.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Turn the cell phone off when not in use.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Type in.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Understand the goals of subtitling.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Understand the risks.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Understand what a patent is!.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Understand what cannot be patented.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Understand what types of inventions can be patented.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a cassette tape case as a cheap but sturdy phone stand.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a chisel for wood.,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Use a clean dustpan to fill a bucket that would not fit under the sink.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
use a feather duster on delicate objects.,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Use a glue gun.,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Use a handheld or floating thermometer.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Use a hands free device or wireless headset.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Use a measuring tape .,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Use a metal detector in your yard.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a muffin tin to serve a range of condiments at a party.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Use a paintbrush .,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Use a screwdriver .,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Use a short controlled backswing.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a skirt hanger with clips .,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a subtitle creation website.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Use a thick sock, preferably wool.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a water heater during the winter months if your pond might freeze.,INSTRUCTION,SIMPLE INSTRUCTION,1,7,INSTRUCTION WITH REASON
Use a well cushioned lounge chair for maximum comfort.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a Wire Cutter.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use coat hooks instead of rods to hang towels in a small bathroom.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Use correct grammar.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use diagonal lines when making a seascape with watercolor paint.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Use gel icing for brighter, more concentrated color.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use pendrive.,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Use plastic lids as simple but effective coasters.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use pool noodles to help keep a kid from rolling out of bed.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
"Use the callers name, whenever possible.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use vases with colorful yarn.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use your phone and a Gatorade or similar bottle to make a lantern.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Visit your local courthouse or county recorder.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Visit your local historical society.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Visualize the shot.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Volunteer at a local animal shelter.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Wait at least 12 hours before removing the painters tape.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Wait for about 30 seconds for the thermometer reading.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Wait for me!.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Wait for your file to download.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Wait to evaluate your application.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Warm up for 5 to 10 minutes before you jog.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Wash your car thoroughly.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Watch in a safe environment.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Watch something funny.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Grab a bolt cutter and cut through bolts and chains.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a chainsaw to cut through thick branches and trees.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a chalk line and create straight lines on surfaces.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a concrete mixer and mix concrete.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a crowbar and pry open doors or windows.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a hacksaw and cut through plastic.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a hacksaw to cut through metal.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Grab a hammer and nail.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a heat gun to apply heat to surfaces.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Grab a level and ensure that shelves or frames are level.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a metal lathe and create precise cylindrical shapes.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a pipe bender to bend pipes into specific shapes.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Grab a pipe cutter and cut copper pipes for plumbing.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a roller brush and saw,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a soldering iron and solder to join wires.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Watch the movie in the morning.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Grab a stapler and staple papers together.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a stud extractor and remove broken studs.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a stud sensor and locate studs in walls.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a tile cutter and cut tiles to the desired size.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a vacuum cleaner and clean carpets.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a wire brush and scrub rust off metal.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Grab a wire stripper to strip wires.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Watch the special features to educate yourself on the film.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Watch your step before taking it.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take a chisel and hammer and carve intricate designs in stone.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a coping saw and cut intricate shapes in wood.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Wax it.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take a flare nut wrench and loosen or tighten brake lines.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a heat gun and remove paint or adhesives from surfaces.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Wet an orbital car buffing pad.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take a hydraulic press and press bearings into place.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a micrometer to measure even more precise dimensions.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Take a mop and clean hard floors.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a nail gun to quickly nail wood together.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Take a nail set and sink nails below the surface of wood.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a pair of pliers and bend wires into the desired shape.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Wiggle your wire cutters back and forth while keeping them closed.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Wind the hose around the initial circle twice.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Take a pickaxe and break up concrete.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a pipe reamer and smooth out the inside of pipes.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a pipe threader and thread pipes for plumbing.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a pipe wrench to tighten and loosen pipes.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Take a power drill and create pilot holes for screws.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a power sander to smooth surfaces.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Take a sewing needle and thread to mend clothing.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a sheet metal nibbler and cut through sheet metal.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a shovel to dig.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Take a spackle knife and apply spackle to fill in holes.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Take a wire brush to remove rust from metal surfaces.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Take a wrench and tighten the bolts.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Wind the hose around the top of the outer base circle.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a broom to sweep the floor.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a caliper to measure precise dimensions.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a caulking gun to seal gaps in walls or windows.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Wind the hose until you are satisfied with the size of the basket's flat base.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a circular saw to cut wood into precise shapes.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a clothes iron to remove wrinkles from clothing.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a concrete saw to cut through concrete or asphalt.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a diamond saw blade to cut through hard materials.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a digital scale to weigh ingredients accurately.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a drain snake to clear clogs in pipes.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a drill press to drill precise holes.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a duster to remove dust from surfaces.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Wind the last zip tie around the base of the hose.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a file to smooth metal edges.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a glass cutter to score and break glass.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Wipe the compound off.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a hacksaw to cut through metal pipes or bars.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a hand-held grinder to remove excess material from metal.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a hand-held router to create decorative edges in wood.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a jigsaw to cut through curves in wood or metal.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Wipe the dust.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a metal detector to locate hidden metal objects.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a multimeter to test electrical circuits.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Work back in with other media.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a pipe cutter to cut pipes to the right length.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a power drill to drill through tough surfaces.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a power planer to smooth rough surfaces.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a pressure gauge to check tire pressure.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a pressure washer to clean hard surfaces.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a putty knife to smooth out drywall compound.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a rake to gather leaves.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
"Use a reciprocating saw to cut through wood, metal, or plastic.",INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a rotary hammer and drill through concrete.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Use a rotary tool to carve and engrave metal or wood.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Use a router to carve intricate designs into wood.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a rubber mallet and tap objects without leaving marks.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Use a saw to cut the wood to the desired size.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Work in a comfortable space that encourages your creativity.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use a sledgehammer to demolish walls or structures.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a staple gun to attach fabric to a wooden frame.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a strap wrench and remove or tighten objects without scratching them.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Use a stud finder to locate studs behind walls.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a stud punch and create holes in metal studs for wiring.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Use a sump pump and remove water from a flooded basement.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Use a tile nipper and cut small sections of tile.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Use a torque wrench to tighten bolts to a specific torque.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a torque wrench to tighten bolts to the right tension.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a trowel to apply mortar to bricks.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Use a wire feed welder and weld metal together.,INSTRUCTION,INSTRUCTION WITH TOOL,1,2,MANDATORY INSTRUCTION
Use a wire stripper to strip the insulation off wires.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Work quickly to capture the essence of a thing.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Use pliers to tighten small objects.,INSTRUCTION,INSTRUCTION WITH TOOL,1,4,INSTRUCTION WITH PURPOSE
Work with an endangered species group.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Wrap four large rubber bands around the box.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Wrap four rubber bands around the plate.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Wrap padlocks in socks.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Wrap the folded tin foil around your head.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
